 (0.198889376736176,-0.134464671105863)
 (3.022766583060454E-002,-1.773970331472113E-002)
 (6.803084674729707E-003,-3.217737053469294E-003)
 (2.580627559222328E-003,-1.783565527999644E-003)
 (1.231128593450927E-003,-1.125784261062108E-003)
 (6.585937791836216E-004,-7.638707966826040E-004)
 (3.757082419371240E-004,-5.431328144301095E-004)
 (2.229463514432547E-004,-3.987878667776319E-004)
 (1.357607758534320E-004,-3.003648079068177E-004)
 (8.380626881373485E-005,-2.313672526114965E-004)
 (5.163472710564110E-005,-1.818053397014494E-004)
 (3.104778195654344E-005,-1.453406037850399E-004)
 (1.754667745331644E-005,-1.179053496623685E-004)
 (8.540046509249654E-006,-9.684863806285813E-005)
 (2.472508640773271E-006,-8.042114311655440E-005)
 (-2.504552040370585E-005,-6.454212749471989E-005)
 (-2.322670273514849E-002,-5.177372932465580E-004)
 (2.208416215730036E-002,-4.928737314209386E-003)
 (5.462532577756196E-003,-2.451462282543110E-003)
 (2.259943484756265E-003,-1.480350396728947E-003)
 (1.128445584860277E-003,-9.772935464137174E-004)
 (6.227345637269564E-004,-6.826122685617921E-004)
 (3.639996087397178E-004,-4.956391084147836E-004)
 (2.205166824880612E-004,-3.697536796988559E-004)
 (1.368788398237497E-004,-2.819724343058919E-004)
 (8.617548918864041E-005,-2.193761005946352E-004)
 (5.429318699620814E-005,-1.738077499279906E-004)
 (3.360120564446323E-005,-1.399152033877648E-004)
 (1.984103259408389E-005,-1.141797026901098E-004)
 (1.053472285087134E-005,-9.427687770582703E-005)
 (4.177030826994289E-006,-7.863428042749961E-005)
 (-1.971113724717223E-007,-6.617759669120570E-005)
 (-2.384701378591338E-003,-1.259004551643882E-003)
 (1.261787203115376E-002,-2.653801713412988E-003)
 (4.255938844761606E-003,-1.817558634876190E-003)
 (1.941819607111507E-003,-1.209026776226378E-003)
 (1.020076575846372E-003,-8.386934567896739E-004)
 (5.822202472020969E-004,-6.045076688270604E-004)
 (3.491552439950489E-004,-4.489169058476469E-004)
 (2.160882411995774E-004,-3.406345707667769E-004)
 (1.367449636331671E-004,-2.632139899441515E-004)
 (8.774158165630668E-005,-2.069457639660860E-004)
 (5.644146486089214E-005,-1.653815417789752E-004)
 (3.583516347045095E-005,-1.341092828325707E-004)
 (2.194822127073398E-005,-1.101392422529772E-004)
 (1.242283346295552E-005,-9.143537071632149E-005)
 (5.822394521589090E-006,-7.662362005110177E-005)
 (1.220208572979734E-006,-6.475219796629873E-005)
 (-4.393780343669666E-004,-1.134879143114028E-003)
 (8.070710862428172E-003,-1.351064610313915E-003)
 (3.311752050276168E-003,-1.301268449702998E-003)
 (1.654067392960453E-003,-9.677064411773856E-004)
 (9.143657960122991E-004,-7.099135037265036E-004)
 (5.402201828665637E-004,-5.297776716079178E-004)
 (3.326024853459503E-004,-4.031964447191940E-004)
 (2.103361818287777E-004,-3.115953402266308E-004)
 (1.356755316386017E-004,-2.441896560137510E-004)
 (8.869323605815863E-005,-1.941536144034784E-004)
 (5.820421641010437E-005,-1.566025611342535E-004)
 (3.783454564024245E-005,-1.279866364157077E-004)
 (2.391901502261587E-005,-1.058158460351698E-004)
 (1.424716333110803E-005,-8.835946285619182E-005)
 (7.443866389460950E-006,-7.441938451065077E-005)
 (2.633750778195594E-006,-6.316358626523503E-005)
 (-1.735582810470050E-004,-9.628735294922653E-004)
 (5.640324046629658E-003,-5.397063553717299E-004)
 (2.607320007144996E-003,-8.910574280734278E-004)
 (1.407254017944557E-003,-7.554540718489589E-004)
 (8.163983416836970E-004,-5.910435520337719E-004)
 (4.990219844650987E-004,-4.586531421195756E-004)
 (3.153995574746612E-004,-3.586698174494897E-004)
 (2.038107299712076E-004,-2.827922977869426E-004)
 (1.339957199032964E-004,-2.250321771359760E-004)
 (8.920301182825923E-005,-1.810942445056296E-004)
 (5.966318889750579E-005,-1.475137478646330E-004)
 (3.964173992652845E-005,-1.215613183291500E-004)
 (2.576581632554248E-005,-1.012166544680756E-004)
 (1.599904261871218E-005,-8.504402122944501E-005)
 (9.041350252564524E-006,-7.201553229442491E-005)
 (4.052318315169953E-006,-6.140776039420668E-005)
 (-1.043326823995925E-004,-8.107687252740658E-004)
 (4.175723304736004E-003,4.216416639067026E-007)
 (2.084456902320832E-003,-5.701834354715058E-004)
 (1.200484887784398E-003,-5.713291579447770E-004)
 (7.281843769051797E-004,-4.822652876605058E-004)
 (4.599306435513834E-004,-3.913819246013727E-004)
 (2.982939816919798E-004,-3.155495137586394E-004)
 (1.969266873962504E-004,-2.543789499619508E-004)
 (1.319249779935700E-004,-2.058321773312082E-004)
 (8.939464293891068E-005,-1.678171117854141E-004)
 (6.089212532251408E-005,-1.381626132448275E-004)
 (4.130141936550097E-005,-1.148802141021778E-004)
 (2.753752121944917E-005,-9.638992598745683E-005)
 (1.771771586146599E-005,-8.152660394536529E-005)
 (1.063864503672224E-005,-6.943965225253436E-005)
 (5.492266662924443E-006,-5.951446505506625E-005)
 (-6.757606244647092E-005,-6.973643513810589E-004)
 (3.200377813632267E-003,3.588258990444761E-004)
 (1.690167755002329E-003,-3.205437098897662E-004)
 (1.028136771623225E-003,-4.135840782325636E-004)
 (6.497268239799352E-004,-3.836829365162880E-004)
 (4.234837177476040E-004,-3.282077370835785E-004)
 (2.816852598551724E-004,-2.740230833835171E-004)
 (1.899236135358082E-004,-2.264837388421510E-004)
 (1.296143893498335E-004,-1.866988978813656E-004)
 (8.937232721767380E-005,-1.544208885066205E-004)
 (6.195541845892218E-005,-1.286083919059173E-004)
 (4.284531886027527E-005,-1.079760651064436E-004)
 (2.924193749166695E-005,-9.134840172784301E-005)
 (1.940716622634791E-005,-7.781264653568125E-005)
